_id,name,images
1037,"Microsoft Surface Laptop 2 (Intel Core i5, 8GB RAM, 256GB) - Burgundy (Newest Version)","""[\""https://s3.amazonaws.com/fec.amazin/1037_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1037_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1037_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1037_4.jpg\""]"""
1038,"ASUS Chromebook C202SA-YS02 11.6"" Ruggedized and Water Resistant Design with 180 Degree (Intel Celeron 4 GB, 16GB eMMC, Dark Blue, Silver)","""[\""https://s3.amazonaws.com/fec.amazin/1038_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1038_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1038_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1038_4.jpg\""]"""
1039,"Samsung Chromebook (Wi-Fi, 11.6-Inch) - Silver (Renewed)","""[\""https://s3.amazonaws.com/fec.amazin/1039_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1039_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1039_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1039_4.jpg\""]"""
1040,"2019 Newest Lenovo IdeaPad 15.6"" HD High Performance Laptop PC |7th Gen AMD A9-9425 Dual-Core 3.10 GHz| 4GB RAM | 128GB SSD | 802.11ac | Bluetooth | DVD+/-RW | HDMI | Win 10","""[\""https://s3.amazonaws.com/fec.amazin/1040_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1040_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1040_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1040_4.jpg\""]"""
1041,"Acer Flagship CB3-532 15.6"" HD Premium Chromebook - Intel Dual-Core Celeron N3060 up to 2.48GH.z, 2GB RAM, 16GB SSD, Wireless AC, HDMI, USB 3.0, Webcam, Chrome OS (Certified Refurbished)","""[\""https://s3.amazonaws.com/fec.amazin/1041_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1041_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1041_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1041_4.jpg\""]"""
1042,"2018 Newest Lenovo Ideapad 15.6"" HD Premium High Performance Laptop, AMD Quad-core A12-9720P processor 2.7GHz, 8GB DDR4, 1TB HDD, DVD, Webcam, 802.11AC, HDMI, USB Type-C, Bluetooth, Windows 10","""[\""https://s3.amazonaws.com/fec.amazin/1042_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1042_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1042_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1042_4.jpg\""]"""
1043,"HP 15.6-Inch HD Touchscreen Laptop (Intel Pentium Silver N5000 1.1GHz, 4GB DDR4-2400 Memory, 1TB HDD, HDMI, HD Webcam, Win 10)","""[\""https://s3.amazonaws.com/fec.amazin/1043_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1043_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1043_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1043_4.jpg\""]"""
1044,Apple MacBook Air MJVM2LL/A Intel i5 1.6GHz 4GB 128GB (Renewed),"""[\""https://s3.amazonaws.com/fec.amazin/1044_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1044_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1044_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1044_4.jpg\""]"""
1045,"Apple Macbook Retina Display Laptop (12 Inch Full-HD LED Backlit IPS Display, Intel Core M-5Y31 1.1GHz up to 2.4GHz, 8GB RAM, 256GB SSD, Wi-Fi, Bluetooth 4.0) Gold (Renewed)","""[\""https://s3.amazonaws.com/fec.amazin/1045_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1045_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1045_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1045_4.jpg\""]"""
1046,"HP 2019 14"" Laptop - Intel Core i3 - 8GB Memory - 128GB Solid State Drive - Ash Silver Keyboard Frame (14-CF0014DX)","""[\""https://s3.amazonaws.com/fec.amazin/1046_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1046_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1046_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1046_4.jpg\""]"""
1047,"MSI GS65 Stealth THIN-051 15.6"" 144Hz 7ms Ultra Thin Gaming Laptop GTX 1060 6G, i7-8750H 6 Core, 16GB RAM, 256GB SSD, RGB KB VR Ready, Metal, Black w/ Gold Diamond Cut, Win 10 Home 64bit","""[\""https://s3.amazonaws.com/fec.amazin/1047_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1047_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1047_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1047_4.jpg\""]"""
1048,"CHUWI Herobook Laptop Computer Windows 10 PC, 14.1"" FHD 1080P Display, Intel Atom X5-E8000 Quad Core, 4GB RAM, 64GB eMMC, 1TB M.2 SSD Slot, 802.11a/b/g/n/ac WiFi, HDMI","""[\""https://s3.amazonaws.com/fec.amazin/1048_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1048_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1048_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1048_4.jpg\""]"""
1049,Acer Swift 3 SF315-52 Slim Laptop in Gold 8th Gen. Quad Core Intel i5 up to 3.4GHz 24GB (16GB Optane + 8GB DDR4 RAM) 1TB HDD 15.6in Full HD Fingerprint Reader (Renewed),"""[\""https://s3.amazonaws.com/fec.amazin/1049_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1049_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1049_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1049_4.jpg\""]"""
1050,Granvela MechanicalEagle Z-77 Multicolor Backlit Mechanical Keyboard Tenkeyless Wired Gaming Keyboard with Blue Switches - DIY Replaceable Switches - Black,"""[\""https://s3.amazonaws.com/fec.amazin/1050_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1050_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1050_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1050_4.jpg\""]"""
1051,Logitech K830 Living-Room Keyboard with Touchpad,"""[\""https://s3.amazonaws.com/fec.amazin/1051_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1051_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1051_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1051_4.jpg\""]"""
1052,Dell Wired Keyboard - Black KB216,"""[\""https://s3.amazonaws.com/fec.amazin/1052_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1052_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1052_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1052_4.jpg\""]"""
1053,Apple Magic Keyboard,"""[\""https://s3.amazonaws.com/fec.amazin/1053_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1053_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1053_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1053_4.jpg\""]"""
1054,Microsoft Natural Ergonomic Keyboard 4000,"""[\""https://s3.amazonaws.com/fec.amazin/1054_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1054_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1054_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1054_4.jpg\""]"""
1055,Logitech K400 Plus Wireless Touch TV Keyboard,"""[\""https://s3.amazonaws.com/fec.amazin/1055_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1055_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1055_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1055_4.jpg\""]"""
1056,Apple USB Wired Compact Keyboard MB869LL/A,"""[\""https://s3.amazonaws.com/fec.amazin/1056_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1056_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1056_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1056_4.jpg\""]"""
1057,Microsoft Arc Mouse,"""[\""https://s3.amazonaws.com/fec.amazin/1057_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1057_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1057_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1057_4.jpg\""]"""
1058,Logitech MX Ergo Wireless Trackball Mouse,"""[\""https://s3.amazonaws.com/fec.amazin/1058_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1058_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1058_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1058_4.jpg\""]"""
1059,Apple Magic Mouse 2,"""[\""https://s3.amazonaws.com/fec.amazin/1059_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1059_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1059_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1059_4.jpg\""]"""
1060,Logitech MX Master 2S Wireless Mouse,"""[\""https://s3.amazonaws.com/fec.amazin/1060_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1060_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1060_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1060_4.jpg\""]"""
1061,"Nulaxy Ergonomic Mouse, 2.4G Optical Wireless Vertical Mouse with 6 Buttons","""[\""https://s3.amazonaws.com/fec.amazin/1061_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1061_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1061_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1061_4.jpg\""]"""
1062,Logitech G502 HERO High Performance Gaming Mouse,"""[\""https://s3.amazonaws.com/fec.amazin/1062_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1062_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1062_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1062_4.jpg\""]"""
